analysis             sr                         signal_normevents     signal_err_tot        
atlas_1712_08119     SRE-MLL-40                 0                     0.0                   
atlas_1712_08119     SRE-MLL-60                 0                     0.0                   
atlas_1712_08119     SRE-MT2-102                0                     0.0                   
atlas_1712_08119     SRE-MT2-105                0                     0.0                   
atlas_1712_08119     SRE-MT2-110                0                     0.0                   
atlas_1712_08119     SRE-MT2-120                0                     0.0                   
atlas_1712_08119     SRE-MT2-130                0                     0.0                   
atlas_1712_08119     SRE-MT2-999                0                     0.0                   
atlas_1712_08119     SRI-MLL-03                 0                     0.0                   
atlas_1712_08119     SRI-MLL-05                 0                     0.0                   
atlas_1712_08119     SRI-MLL-10                 0                     0.0                   
atlas_1712_08119     SRI-MLL-20                 0                     0.0                   
atlas_1712_08119     SRI-MLL-30                 0                     0.0                   
atlas_1712_08119     SRI-MLL-40                 0                     0.0                   
atlas_1712_08119     SRI-MLL-60                 0                     0.0                   
atlas_1712_08119     SRI-MT2-102                0                     0.0                   
atlas_1712_08119     SRI-MT2-105                0                     0.0                   
atlas_1712_08119     SRI-MT2-110                0                     0.0                   
atlas_1712_08119     SRI-MT2-120                0                     0.0                   
atlas_1712_08119     SRI-MT2-130                0                     0.0                   
atlas_1712_08119     SRI-MT2-999                0                     0.0                   
atlas_1712_08119     SRM-MLL-03                 0                     0.0                   
atlas_1712_08119     SRM-MLL-05                 0                     0.0                   
atlas_1712_08119     SRM-MLL-10                 0                     0.0                   
atlas_1712_08119     SRM-MLL-20                 0                     0.0                   
atlas_1712_08119     SRM-MLL-30                 0                     0.0                   
atlas_1712_08119     SRM-MLL-40                 0                     0.0                   
atlas_1712_08119     SRM-MLL-60                 0                     0.0                   
atlas_1712_08119     SRM-MT2-102                0                     0.0                   
atlas_1712_08119     SRM-MT2-105                0                     0.0                   
atlas_1712_08119     SRM-MT2-110                0                     0.0                   
atlas_1712_08119     SRM-MT2-120                0                     0.0                   
atlas_1712_08119     SRM-MT2-130                0                     0.0                   
atlas_1712_08119     SRM-MT2-999                0                     0.0                   
atlas_1802_03158     SRaaSH                     0                     0.0                   
atlas_1802_03158     SRaaSL                     0                     0.0                   
atlas_1802_03158     SRaaWH                     0                     0.0                   
atlas_1802_03158     SRaaWL                     0                     0.0                   
atlas_1802_03158     SRajH                      0.28545879342899305   0.16483209654265293   
atlas_1802_03158     SRajL                      0.09495119287259418   0.09495140143144233   
atlas_1802_03158     SRajL200                   0.09495119287259418   0.09495140143144233   
atlas_1803_02762     S-2l0j-DF-100              0                     0.0                   
atlas_1803_02762     S-2l0j-DF-150              0                     0.0                   
atlas_1803_02762     S-2l0j-DF-200              0                     0.0                   
atlas_1803_02762     S-2l0j-DF-300              0                     0.0                   
atlas_1803_02762     S-2l0j-SF-loose            0                     0.0                   
atlas_1803_02762     S-2l0j-SF-tight            0                     0.0                   
atlas_1803_02762     S-2lj-SR2-high             0                     0.0                   
atlas_1803_02762     S-2lj-SR2-int              0                     0.0                   
atlas_1803_02762     S-2lj-SR2-low              0                     0.0                   
atlas_1803_02762     S-3l-WZ-0Ja                0                     0.0                   
atlas_1803_02762     S-3l-WZ-0Jb                0                     0.0                   
atlas_1803_02762     S-3l-WZ-1Ja                0                     0.0                   
atlas_1803_02762     S-3l-WZ-1Jb                0                     0.0                   
atlas_1803_02762     S-3l-WZ-1Jc                0                     0.0                   
atlas_1803_02762     S-3l-WZ-OJc                0                     0.0                   
atlas_1803_02762     S-3l-slep-a                0                     0.0                   
atlas_1803_02762     S-3l-slep-b                0                     0.0                   
atlas_1803_02762     S-3l-slep-c                0                     0.0                   
atlas_1803_02762     S-3l-slep-d                0                     0.0                   
atlas_1803_02762     S-3l-slep-e                0                     0.0                   
atlas_1807_07447     10j                        0                     0.0                   
atlas_1807_07447     11j                        0                     0.0                   
atlas_1807_07447     12j                        0                     0.0                   
atlas_1807_07447     131b8j                     0                     0.0                   
atlas_1807_07447     13j                        0                     0.0                   
atlas_1807_07447     14j                        0                     0.0                   
atlas_1807_07447     1b10j                      0                     0.0                   
atlas_1807_07447     1b11j                      0                     0.0                   
atlas_1807_07447     1b1j                       0.009463345631052557  0.009463346244969117  
atlas_1807_07447     1b2j                       0.025179603116256683  0.014556421518737095  
atlas_1807_07447     1b3j                       0.05592342637499801   0.022837047292726457  
atlas_1807_07447     1b4j                       0.0807347096095159    0.026953335988946663  
atlas_1807_07447     1b5j                       0.018535176624901492  0.013112523183709882  
atlas_1807_07447     1b6j                       0                     0.0                   
atlas_1807_07447     1b7j                       0                     0.0                   
atlas_1807_07447     1b8j                       0                     0.0                   
atlas_1807_07447     1b9j                       0                     0.0                   
atlas_1807_07447     1e1b4j                     0                     0.0                   
atlas_1807_07447     1e1b5j                     0                     0.0                   
atlas_1807_07447     1e1b6j                     0                     0.0                   
atlas_1807_07447     1e1b7j                     0                     0.0                   
atlas_1807_07447     1e1b9j                     0                     0.0                   
atlas_1807_07447     1e1g                       0                     0.0                   
atlas_1807_07447     1e1g1b                     0                     0.0                   
atlas_1807_07447     1e1g1b1j                   0                     0.0                   
atlas_1807_07447     1e1g1b2j                   0                     0.0                   
atlas_1807_07447     1e1g1b3j                   0                     0.0                   
atlas_1807_07447     1e1g1b4j                   0                     0.0                   
atlas_1807_07447     1e1g1b5j                   0                     0.0                   
atlas_1807_07447     1e1g1j                     0                     0.0                   
atlas_1807_07447     1e1g2b                     0                     0.0                   
atlas_1807_07447     1e1g2b1j                   0                     0.0                   
atlas_1807_07447     1e1g2b2j                   0                     0.0                   
atlas_1807_07447     1e1g2b3j                   0                     0.0                   
atlas_1807_07447     1e1g2b4j                   0                     0.0                   
atlas_1807_07447     1e1g2b5j                   0                     0.0                   
atlas_1807_07447     1e1g2j                     0                     0.0                   
atlas_1807_07447     1e1g3b                     0                     0.0                   
atlas_1807_07447     1e1g3b1j                   0                     0.0                   
atlas_1807_07447     1e1g3b2j                   0                     0.0                   
atlas_1807_07447     1e1g3b3j                   0                     0.0                   
atlas_1807_07447     1e1g3j                     0                     0.0                   
atlas_1807_07447     1e1g4j                     0                     0.0                   
atlas_1807_07447     1e1g5j                     0                     0.0                   
atlas_1807_07447     1e1g6j                     0                     0.0                   
atlas_1807_07447     1e1g7j                     0                     0.0                   
atlas_1807_07447     1e2b                       0                     0.0                   
atlas_1807_07447     1e2b1j                     0                     0.0                   
atlas_1807_07447     1e2b2j                     0.007958093096317296  0.007958094724915186  
atlas_1807_07447     1e2b3j                     0.00813572091731765   0.008135725399809727  
atlas_1807_07447     1e2b4j                     0                     0.0                   
atlas_1807_07447     1e2b5j                     0                     0.0                   
atlas_1807_07447     1e2b6j                     0                     0.0                   
atlas_1807_07447     1e2b7j                     0                     0.0                   
atlas_1807_07447     1e2b8j                     0                     0.0                   
atlas_1807_07447     1e2g                       0                     0.0                   
atlas_1807_07447     1e2g1b1j                   0                     0.0                   
atlas_1807_07447     1e2g1b2j                   0                     0.0                   
atlas_1807_07447     1e2g1j                     0                     0.0                   
atlas_1807_07447     1e2g2j                     0                     0.0                   
atlas_1807_07447     1e2g3j                     0                     0.0                   
atlas_1807_07447     1e3b                       0                     0.0                   
atlas_1807_07447     1e3b1j                     0                     0.0                   
atlas_1807_07447     1e3b2j                     0                     0.0                   
atlas_1807_07447     1e3b3j                     0                     0.0                   
atlas_1807_07447     1e3b4j                     0                     0.0                   
atlas_1807_07447     1e3b5j                     0                     0.0                   
atlas_1807_07447     1e3b6j                     0                     0.0                   
atlas_1807_07447     1e4b                       0                     0.0                   
atlas_1807_07447     1e4b1j                     0                     0.0                   
atlas_1807_07447     1e4b2j                     0                     0.0                   
atlas_1807_07447     1e4b3j                     0                     0.0                   
atlas_1807_07447     1e4b4j                     0                     0.0                   
atlas_1807_07447     1e4b5j                     0                     0.0                   
atlas_1807_07447     1e5b                       0                     0.0                   
atlas_1807_07447     1e5b1j                     0                     0.0                   
atlas_1807_07447     1e5b2j                     0                     0.0                   
atlas_1807_07447     1e5j                       0.008312913263660068  0.008312909667723451  
atlas_1807_07447     1e6j                       0                     0.0                   
atlas_1807_07447     1e7j                       0                     0.0                   
atlas_1807_07447     1e8j                       0                     0.0                   
atlas_1807_07447     1e9j                       0                     0.0                   
atlas_1807_07447     1g10j                      0                     0.0                   
atlas_1807_07447     1g1b                       0                     0.0                   
atlas_1807_07447     1g1b1j                     0                     0.0                   
atlas_1807_07447     1g1b2j                     0                     0.0                   
atlas_1807_07447     1g1b3j                     0                     0.0                   
atlas_1807_07447     1g1b4j                     0                     0.0                   
atlas_1807_07447     1g1b5j                     0                     0.0                   
atlas_1807_07447     1g1b6j                     0                     0.0                   
atlas_1807_07447     1g1b7j                     0                     0.0                   
atlas_1807_07447     1g1b8j                     0                     0.0                   
atlas_1807_07447     1g1j                       0                     0.0                   
atlas_1807_07447     1g2b                       0                     0.0                   
atlas_1807_07447     1g2b1j                     0                     0.0                   
atlas_1807_07447     1g2b2j                     0                     0.0                   
atlas_1807_07447     1g2b3j                     0                     0.0                   
atlas_1807_07447     1g2b4j                     0                     0.0                   
atlas_1807_07447     1g2b5j                     0                     0.0                   
atlas_1807_07447     1g2b6j                     0                     0.0                   
atlas_1807_07447     1g2b7j                     0                     0.0                   
atlas_1807_07447     1g2j                       0                     0.0                   
atlas_1807_07447     1g3b                       0                     0.0                   
atlas_1807_07447     1g3b1j                     0                     0.0                   
atlas_1807_07447     1g3b2j                     0                     0.0                   
atlas_1807_07447     1g3b3j                     0                     0.0                   
atlas_1807_07447     1g3b4j                     0                     0.0                   
atlas_1807_07447     1g3j                       0                     0.0                   
atlas_1807_07447     1g4b                       0                     0.0                   
atlas_1807_07447     1g4b1j                     0                     0.0                   
atlas_1807_07447     1g4b2j                     0                     0.0                   
atlas_1807_07447     1g4j                       0                     0.0                   
atlas_1807_07447     1g5j                       0                     0.0                   
atlas_1807_07447     1g6j                       0                     0.0                   
atlas_1807_07447     1g7j                       0                     0.0                   
atlas_1807_07447     1g8j                       0                     0.0                   
atlas_1807_07447     1g9j                       0                     0.0                   
atlas_1807_07447     1m1b                       0                     0.0                   
atlas_1807_07447     1m1b1j                     0                     0.0                   
atlas_1807_07447     1m1b2j                     0                     0.0                   
atlas_1807_07447     1m1b3j                     0                     0.0                   
atlas_1807_07447     1m1b4j                     0                     0.0                   
atlas_1807_07447     1m1b5j                     0                     0.0                   
atlas_1807_07447     1m1b6j                     0                     0.0                   
atlas_1807_07447     1m1b7j                     0                     0.0                   
atlas_1807_07447     1m1b8j                     0                     0.0                   
atlas_1807_07447     1m1b9j                     0                     0.0                   
atlas_1807_07447     1m1e                       0                     0.0                   
atlas_1807_07447     1m1e1b                     0                     0.0                   
atlas_1807_07447     1m1e1b1j                   0                     0.0                   
atlas_1807_07447     1m1e1b2j                   0                     0.0                   
atlas_1807_07447     1m1e1b3j                   0                     0.0                   
atlas_1807_07447     1m1e1b4j                   0                     0.0                   
atlas_1807_07447     1m1e1b5j                   0                     0.0                   
atlas_1807_07447     1m1e1b6j                   0                     0.0                   
atlas_1807_07447     1m1e1b7j                   0                     0.0                   
atlas_1807_07447     1m1e1g                     0                     0.0                   
atlas_1807_07447     1m1e1g1b                   0                     0.0                   
atlas_1807_07447     1m1e1g1b1j                 0                     0.0                   
atlas_1807_07447     1m1e1g1b2j                 0                     0.0                   
atlas_1807_07447     1m1e1g1b3j                 0                     0.0                   
atlas_1807_07447     1m1e1g1b4j                 0                     0.0                   
atlas_1807_07447     1m1e1g1j                   0                     0.0                   
atlas_1807_07447     1m1e1g2b                   0                     0.0                   
atlas_1807_07447     1m1e1g2b1j                 0                     0.0                   
atlas_1807_07447     1m1e1g2b2j                 0                     0.0                   
atlas_1807_07447     1m1e1g2j                   0                     0.0                   
atlas_1807_07447     1m1e1g3j                   0                     0.0                   
atlas_1807_07447     1m1e1j                     0                     0.0                   
atlas_1807_07447     1m1e2b                     0                     0.0                   
atlas_1807_07447     1m1e2b1j                   0                     0.0                   
atlas_1807_07447     1m1e2b2j                   0                     0.0                   
atlas_1807_07447     1m1e2b3j                   0                     0.0                   
atlas_1807_07447     1m1e2b4j                   0                     0.0                   
atlas_1807_07447     1m1e2b5j                   0                     0.0                   
atlas_1807_07447     1m1e2b6j                   0                     0.0                   
atlas_1807_07447     1m1e2j                     0                     0.0                   
atlas_1807_07447     1m1e3b                     0                     0.0                   
atlas_1807_07447     1m1e3b1j                   0                     0.0                   
atlas_1807_07447     1m1e3b2j                   0                     0.0                   
atlas_1807_07447     1m1e3b3j                   0                     0.0                   
atlas_1807_07447     1m1e3b4j                   0                     0.0                   
atlas_1807_07447     1m1e3j                     0                     0.0                   
atlas_1807_07447     1m1e4b                     0                     0.0                   
atlas_1807_07447     1m1e4b1j                   0                     0.0                   
atlas_1807_07447     1m1e4b2j                   0                     0.0                   
atlas_1807_07447     1m1e4j                     0                     0.0                   
atlas_1807_07447     1m1e5j                     0                     0.0                   
atlas_1807_07447     1m1e6j                     0                     0.0                   
atlas_1807_07447     1m1e7j                     0                     0.0                   
atlas_1807_07447     1m1g                       0                     0.0                   
atlas_1807_07447     1m1g1b                     0                     0.0                   
atlas_1807_07447     1m1g1b1j                   0                     0.0                   
atlas_1807_07447     1m1g1b2j                   0                     0.0                   
atlas_1807_07447     1m1g1b3j                   0                     0.0                   
atlas_1807_07447     1m1g1b4j                   0                     0.0                   
atlas_1807_07447     1m1g1b5j                   0                     0.0                   
atlas_1807_07447     1m1g1j                     0                     0.0                   
atlas_1807_07447     1m1g2b                     0                     0.0                   
atlas_1807_07447     1m1g2b1j                   0                     0.0                   
atlas_1807_07447     1m1g2b2j                   0                     0.0                   
atlas_1807_07447     1m1g2b3j                   0                     0.0                   
atlas_1807_07447     1m1g2b4j                   0                     0.0                   
atlas_1807_07447     1m1g2b5j                   0                     0.0                   
atlas_1807_07447     1m1g2j                     0                     0.0                   
atlas_1807_07447     1m1g3b                     0                     0.0                   
atlas_1807_07447     1m1g3b1j                   0                     0.0                   
atlas_1807_07447     1m1g3b2j                   0                     0.0                   
atlas_1807_07447     1m1g3j                     0                     0.0                   
atlas_1807_07447     1m1g4j                     0                     0.0                   
atlas_1807_07447     1m1g5j                     0                     0.0                   
atlas_1807_07447     1m1g6j                     0                     0.0                   
atlas_1807_07447     1m1j                       0                     0.0                   
atlas_1807_07447     1m2b                       0                     0.0                   
atlas_1807_07447     1m2b1j                     0                     0.0                   
atlas_1807_07447     1m2b2j                     0                     0.0                   
atlas_1807_07447     1m2b3j                     0                     0.0                   
atlas_1807_07447     1m2b4j                     0                     0.0                   
atlas_1807_07447     1m2b5j                     0                     0.0                   
atlas_1807_07447     1m2b6j                     0                     0.0                   
atlas_1807_07447     1m2b7j                     0                     0.0                   
atlas_1807_07447     1m2b8j                     0                     0.0                   
atlas_1807_07447     1m2e                       0                     0.0                   
atlas_1807_07447     1m2e1b                     0                     0.0                   
atlas_1807_07447     1m2e1b1j                   0                     0.0                   
atlas_1807_07447     1m2e1b2j                   0                     0.0                   
atlas_1807_07447     1m2e1b3j                   0                     0.0                   
atlas_1807_07447     1m2e1j                     0                     0.0                   
atlas_1807_07447     1m2e2b                     0                     0.0                   
atlas_1807_07447     1m2e2b1j                   0                     0.0                   
atlas_1807_07447     1m2e2b2j                   0                     0.0                   
atlas_1807_07447     1m2e2b5j                   0                     0.0                   
atlas_1807_07447     1m2e2j                     0                     0.0                   
atlas_1807_07447     1m2e3j                     0                     0.0                   
atlas_1807_07447     1m2e4j                     0                     0.0                   
atlas_1807_07447     1m2g                       0                     0.0                   
atlas_1807_07447     1m2g1b2j                   0                     0.0                   
atlas_1807_07447     1m2g1j                     0                     0.0                   
atlas_1807_07447     1m2g3j                     0                     0.0                   
atlas_1807_07447     1m2j                       0                     0.0                   
atlas_1807_07447     1m3b                       0                     0.0                   
atlas_1807_07447     1m3b1j                     0                     0.0                   
atlas_1807_07447     1m3b2j                     0                     0.0                   
atlas_1807_07447     1m3b3j                     0                     0.0                   
atlas_1807_07447     1m3b4j                     0                     0.0                   
atlas_1807_07447     1m3b5j                     0                     0.0                   
atlas_1807_07447     1m3b6j                     0                     0.0                   
atlas_1807_07447     1m3b7j                     0                     0.0                   
atlas_1807_07447     1m3e                       0                     0.0                   
atlas_1807_07447     1m3j                       0                     0.0                   
atlas_1807_07447     1m4b                       0                     0.0                   
atlas_1807_07447     1m4b1j                     0                     0.0                   
atlas_1807_07447     1m4b2j                     0                     0.0                   
atlas_1807_07447     1m4b3j                     0                     0.0                   
atlas_1807_07447     1m4b4j                     0                     0.0                   
atlas_1807_07447     1m4b5j                     0                     0.0                   
atlas_1807_07447     1m4j                       0                     0.0                   
atlas_1807_07447     1m5b                       0                     0.0                   
atlas_1807_07447     1m5b1j                     0                     0.0                   
atlas_1807_07447     1m5b2j                     0                     0.0                   
atlas_1807_07447     1m5j                       0                     0.0                   
atlas_1807_07447     1m6j                       0                     0.0                   
atlas_1807_07447     1m7j                       0                     0.0                   
atlas_1807_07447     1m8j                       0                     0.0                   
atlas_1807_07447     1m9j                       0                     0.0                   
atlas_1807_07447     2b                         0                     0.0                   
atlas_1807_07447     2b1j                       0                     0.0                   
atlas_1807_07447     2b2j                       0.017134094212288373  0.012129123005289587  
atlas_1807_07447     2b3j                       0.018360161651848755  0.012982700697725173  
atlas_1807_07447     2b4j                       0.008936719251294474  0.008936721385179213  
atlas_1807_07447     2b5j                       0.00894171575000132   0.008941716413155784  
atlas_1807_07447     2b6j                       0                     0.0                   
atlas_1807_07447     2b7j                       0.009686354495353646  0.009686367791998508  
atlas_1807_07447     2b8j                       0                     0.0                   
atlas_1807_07447     2b9j                       0                     0.0                   
atlas_1807_07447     2e                         0                     0.0                   
atlas_1807_07447     2e1b                       0                     0.0                   
atlas_1807_07447     2e1b1j                     0                     0.0                   
atlas_1807_07447     2e1b2j                     0                     0.0                   
atlas_1807_07447     2e1b3j                     0                     0.0                   
atlas_1807_07447     2e1b4j                     0                     0.0                   
atlas_1807_07447     2e1b5j                     0                     0.0                   
atlas_1807_07447     2e1b6j                     0                     0.0                   
atlas_1807_07447     2e1b7j                     0                     0.0                   
atlas_1807_07447     2e1g                       0                     0.0                   
atlas_1807_07447     2e1g1b                     0                     0.0                   
atlas_1807_07447     2e1g1b1j                   0                     0.0                   
atlas_1807_07447     2e1g1b2j                   0                     0.0                   
atlas_1807_07447     2e1g1b3j                   0                     0.0                   
atlas_1807_07447     2e1g1j                     0                     0.0                   
atlas_1807_07447     2e1g2b                     0                     0.0                   
atlas_1807_07447     2e1g2b1j                   0                     0.0                   
atlas_1807_07447     2e1g2j                     0                     0.0                   
atlas_1807_07447     2e1g3b                     0                     0.0                   
atlas_1807_07447     2e1g3j                     0                     0.0                   
atlas_1807_07447     2e1g4j                     0                     0.0                   
atlas_1807_07447     2e1g5j                     0                     0.0                   
atlas_1807_07447     2e1j                       0                     0.0                   
atlas_1807_07447     2e2b                       0                     0.0                   
atlas_1807_07447     2e2b1j                     0                     0.0                   
atlas_1807_07447     2e2b2j                     0                     0.0                   
atlas_1807_07447     2e2b3j                     0                     0.0                   
atlas_1807_07447     2e2b4j                     0                     0.0                   
atlas_1807_07447     2e2b5j                     0                     0.0                   
atlas_1807_07447     2e2g                       0                     0.0                   
atlas_1807_07447     2e2j                       0                     0.0                   
atlas_1807_07447     2e3b                       0                     0.0                   
atlas_1807_07447     2e3b1j                     0                     0.0                   
atlas_1807_07447     2e3b2j                     0                     0.0                   
atlas_1807_07447     2e3b3j                     0                     0.0                   
atlas_1807_07447     2e3b4j                     0                     0.0                   
atlas_1807_07447     2e3j                       0                     0.0                   
atlas_1807_07447     2e4b                       0                     0.0                   
atlas_1807_07447     2e4b1j                     0                     0.0                   
atlas_1807_07447     2e4j                       0                     0.0                   
atlas_1807_07447     2e5j                       0                     0.0                   
atlas_1807_07447     2e6j                       0                     0.0                   
atlas_1807_07447     2e7j                       0                     0.0                   
atlas_1807_07447     2e8j                       0                     0.0                   
atlas_1807_07447     2g                         0                     0.0                   
atlas_1807_07447     2g1b                       0                     0.0                   
atlas_1807_07447     2g1b1j                     0                     0.0                   
atlas_1807_07447     2g1b2j                     0                     0.0                   
atlas_1807_07447     2g1b3j                     0                     0.0                   
atlas_1807_07447     2g1b4j                     0                     0.0                   
atlas_1807_07447     2g1b5j                     0                     0.0                   
atlas_1807_07447     2g1j                       0                     0.0                   
atlas_1807_07447     2g2b                       0                     0.0                   
atlas_1807_07447     2g2b1j                     0                     0.0                   
atlas_1807_07447     2g2b2j                     0                     0.0                   
atlas_1807_07447     2g2b3j                     0                     0.0                   
atlas_1807_07447     2g2j                       0                     0.0                   
atlas_1807_07447     2g3j                       0                     0.0                   
atlas_1807_07447     2g4j                       0                     0.0                   
atlas_1807_07447     2g5j                       0                     0.0                   
atlas_1807_07447     2g6j                       0                     0.0                   
atlas_1807_07447     2g7j                       0                     0.0                   
atlas_1807_07447     2j                         0.024773236501245546  0.014303355329387427  
atlas_1807_07447     2m                         0                     0.0                   
atlas_1807_07447     2m1b                       0                     0.0                   
atlas_1807_07447     2m1b1j                     0                     0.0                   
atlas_1807_07447     2m1b2j                     0                     0.0                   
atlas_1807_07447     2m1b3j                     0                     0.0                   
atlas_1807_07447     2m1b4j                     0                     0.0                   
atlas_1807_07447     2m1b5j                     0                     0.0                   
atlas_1807_07447     2m1b6j                     0                     0.0                   
atlas_1807_07447     2m1b7j                     0                     0.0                   
atlas_1807_07447     2m1e                       0                     0.0                   
atlas_1807_07447     2m1e1b                     0                     0.0                   
atlas_1807_07447     2m1e1b1j                   0                     0.0                   
atlas_1807_07447     2m1e1b2j                   0                     0.0                   
atlas_1807_07447     2m1e1b3j                   0                     0.0                   
atlas_1807_07447     2m1e1g1j                   0                     0.0                   
atlas_1807_07447     2m1e1j                     0                     0.0                   
atlas_1807_07447     2m1e2b                     0                     0.0                   
